Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Copacabana;1;0;0;25;1000.0;490.0;56.0
Flamengo;1;0;0;23;1100.0;348.0;30.0
Méier;1;1;0;40;900.0;657.0;
Centro;1;0;0;31;1100.0;480.0;
Botafogo;1;0;0;19;980.0;481.0;29.0
Piedade;1;0;0;30;650.0;;
Vila Isabel;1;0;0;50;1000.0;400.0;
Centro;1;0;0;30;1100.0;440.0;24.0
Centro;1;0;0;32;1000.0;450.0;30.0
Praça Seca;1;1;0;41;800.0;320.0;20.0
Catete;1;0;0;24;1000.0;474.0;29.0
Jacarepaguá;1;0;0;53;1000.0;363.0;13.0
Centro;1;0;0;41;800.0;384.0;17.0
Honório Gurgel;1;0;0;80;750.0;;
Braz de Pina;1;0;0;30;850.0;;
Jacarepaguá;1;0;0;37;1100.0;308.0;16.0
Andaraí;1;1;0;50;1000.0;464.0;25.0
Anil;1;0;0;30;550.0;13.0;8.0
Guadalupe;1;0;0;60;700.0;;
Tijuca;1;0;1;26;800.0;483.0;24.0
Vila da Penha;1;0;0;48;750.0;245.0;
Méier;1;1;0;42;900.0;405.0;17.0
Flamengo;1;0;0;26;950.0;420.0;25.0
Copacabana;1;0;0;30;1180.0;455.0;70.0
Botafogo;1;0;0;21;900.0;350.0;24.0
Centro;1;0;0;33;750.0;486.0;25.0
Méier;1;1;0;45;800.0;200.0;50.0
Glória;1;0;0;43;1000.0;503.0;15.0
Pechincha;1;0;0;46;800.0;545.0;14.0
Pedra de Guaratiba;1;0;0;42;580.0;;
Barra da Tijuca;1;1;0;42;800.0;758.0;
Centro;1;0;0;30;750.0;350.0;
Ramos;1;0;0;40;500.0;;
Campo Grande;1;0;0;65;600.0;;
Vila Isabel;1;0;0;41;1100.0;390.0;24.0
Campo Grande;1;0;0;50;550.0;;
Irajá;1;1;0;45;800.0;;
Tijuca;1;0;0;30;990.0;;
Botafogo;1;0;0;23;850.0;581.0;30.0
Campo Grande;1;0;0;55;650.0;;
